"Month.Year","Local.Govt.Area","Approved.Sites","Operational.Sites","Approved.EGMs","Operational.EGMs","Player.Money.Lost","source","author"
"July 2004","BALONNE","7",6,74,74,139309.64,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BANANA","11",11,183,183,296541.83,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BARCALDINE","3",3,28,28,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BLACKALL TAMBO","3",3,26,26,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BRISBANE","242",230,8801,8370,32591122.98,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BUNDABERG","43",42,1014,968,3468944.68,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","BURDEKIN","8",8,185,169,440256.83,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CAIRNS","44",44,1536,1497,4698889.17,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CARPENTARIA","2",2,36,36,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CASSOWARY COAST","17",16,344,324,901792.72,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CENTRAL HIGHLANDS","20",20,405,386,1141868.5,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CHARTERS TOWERS","10",10,178,178,328243.44,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","CLONCURRY","6",6,77,77,176176.4,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","COOK","3",2,25,15,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","DOUGLAS","11",11,143,133,482907.79,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","FLINDERS","3",3,39,39,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","FRASER COAST","40",40,1147,1124,3927990.42,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","GLADSTONE","23",23,558,549,1998615.23,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","GOLD COAST","131",129,5180,5003,21997380.22,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","GOONDIWINDI","11",11,183,175,384871.02,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","GYMPIE","23",23,360,348,1033524.67,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","HINCHINBROOK","8",7,88,82,250467.97,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","IPSWICH","41",38,1298,1200,5272361.5,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","ISAAC","17",17,234,231,658395.81,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","LIVINGSTONE","13",13,273,260,759295.38,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","LOCKYER VALLEY","19",19,280,265,767601.46,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","LOGAN","41",39,1772,1723,10080496.86,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","LONGREACH","6",6,79,79,123490.23,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MACKAY","47",46,1294,1232,3952990.09,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MARANOA","8",8,127,127,232043.13,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MAREEBA","7",7,177,174,483970.38,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MCKINLAY","2",2,21,21,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MORETON BAY","63",63,2610,2564,11937794.39,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MOUNT ISA","9",9,506,506,1467412.21,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","MURWEH","8",8,71,71,154319.35,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","NOOSA","20",19,559,531,2122100.6,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","NORTH BURNETT","11",11,103,103,291640.77,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","PAROO","2",2,25,25,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","QUILPIE","1",1,5,5,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","REDLAND","28",28,1126,1110,4587508.56,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","RICHMOND","2",1,16,4,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","ROCKHAMPTON","43",42,986,941,3022143.51,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","SCENIC RIM","21",21,238,236,564725.04,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","SOMERSET","13",13,135,130,454375.71,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","SOUTH BURNETT","21",21,334,326,932353.54,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","SOUTHERN DOWNS","23",23,410,407,881368.85,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","SUNSHINE COAST","75",73,2572,2478,9415415.29,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","TABLELANDS","7",6,169,121,338596.39,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","TOOWOOMBA","59",56,1381,1310,4278594.5,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","TORRES","4",4,78,78,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","TOWNSVILLE","52",48,1406,1310,5192631.89,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","WEIPA","3",3,51,43,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","WESTERN DOWNS","25",25,362,336,680619.14,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","WHITSUNDAY","28",27,498,495,1661193.08,"Wankarani Settlement dataset","Timothy L. McAndrews"
"July 2004","WINTON","4",4,39,39,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BALONNE","6",6,74,74,119634.66,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BANANA","11",11,179,179,306836.28,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BARCALDINE","3",3,28,28,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BLACKALL TAMBO","3",3,26,26,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BRISBANE","240",232,8800,8418,31866211.07,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BUNDABERG","43",42,1014,968,3376932.21,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","BURDEKIN","8",8,185,169,425572.59,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CAIRNS","44",44,1536,1497,4664594.92,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CARPENTARIA","2",2,36,36,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CASSOWARY COAST","17",16,344,324,895399.72,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CENTRAL HIGHLANDS","20",20,405,386,1073860.23,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CHARTERS TOWERS","10",10,178,178,348964.53,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","CLONCURRY","6",6,77,77,182668.5,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","COOK","3",2,25,15,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","DOUGLAS","11",11,143,133,498509.11,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","FLINDERS","3",2,28,28,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","FRASER COAST","40",40,1147,1145,3810898.59,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","GLADSTONE","23",23,558,549,1987593.89,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","GOLD COAST","132",128,5206,4978,21887793.51,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","GOONDIWINDI","11",11,183,175,398015.24,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","GYMPIE","23",23,360,348,990809.3,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","HINCHINBROOK","8",7,88,82,242550.57,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","IPSWICH","41",38,1284,1218,5091570.84,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","ISAAC","17",17,234,231,696004.72,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","LIVINGSTONE","13",13,268,260,791477.82,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","LOCKYER VALLEY","19",18,271,257,748162.5,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","LOGAN","41",39,1777,1717,10108920.81,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","LONGREACH","6",6,79,79,121314.8,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MACKAY","47",45,1294,1227,3913828.54,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MARANOA","8",8,127,127,262993.58,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MAREEBA","7",7,177,174,492523.47,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MCKINLAY","2",2,21,21,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MORETON BAY","63",63,2610,2575,11534975.96,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MOUNT ISA","9",9,506,506,1589483.77,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","MURWEH","8",8,76,71,155326.29,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","NOOSA","20",19,559,531,2065999.51,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","NORTH BURNETT","11",11,103,103,281413.57,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","PAROO","2",2,25,25,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","QUILPIE","1",1,5,5,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","REDLAND","28",28,1141,1110,4590891.32,"Wankarani Settlement dataset","Timothy L. McAndrews"
"August 2004","RICHMOND","2",1,16,4,NA,"Wankarani Settlement dataset","Timothy L. McAndrews"
